product_name,rating,total_ratings,total_reviews,image_URL,page_URL,description,tag_list
Striped Men Polo Neck Multicolor T-Shirt,4.0,1362,160,https://rukminim1.flixcart.com/image/309/371/jza5uvk0/t-shirt/s/n/n/l-striped-try-this-original-imafj8mfhxhmfxtm.jpeg?q=50,www.flipkart.com/try-striped-men-polo-neck-multicolor-t-shirt/p/itmd6e7a7e3c5393?pid=TSHFJ6MGFSAHK3SZ&amp;lid=LSTTSHFJ6MGFSAHK3SZ3VJNQ6&amp;marketplace=FLIPKART&amp;srno=s_1_21&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFJ6MGFSAHK3SZ.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Striped Men Polo Neck Multicolor T-Shirt,
"Color Block Men Round Neck Green, Black T-Shirt",4.1,12405,1559,https://rukminim1.flixcart.com/image/309/371/jw0zr0w0/t-shirt/g/u/q/s-daredevil-party-wear-wrath-original-imafgsggwmdabfx4.jpeg?q=50,www.flipkart.com/wrath-color-block-men-round-neck-green-black-t-shirt/p/itmfgsbjegxfu95q?pid=TSHFGS22F4Z8HMVV&amp;lid=LSTTSHFGS22F4Z8HMVV5TBMDQ&amp;marketplace=FLIPKART&amp;srno=s_1_22&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFGS22F4Z8HMVV.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Color Block Men Round Neck Green, Black T-Shirt",
"Solid Men Round Neck Dark Blue, Red, Black T-Shirt",3.9,14982,1774,https://rukminim1.flixcart.com/image/309/371/k40798w0/t-shirt/4/g/6/l-fc4131-fastcolors-original-imafny3wkfpmhny8.jpeg?q=50,www.flipkart.com/fastcolors-solid-men-round-neck-dark-blue-red-black-t-shirt/p/itm227b8c7738544?pid=TSHFJWAUGVZGYQZY&amp;lid=LSTTSHFJWAUGVZGYQZYDTUN7Z&amp;marketplace=FLIPKART&amp;srno=s_1_23&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFJWAUGVZGYQZY.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Solid Men Round Neck Dark Blue, Red, Black T-Shirt",
"Solid Men Round Neck Dark Blue, Grey T-Shirt",3.9,8612,1105,https://rukminim1.flixcart.com/image/309/371/kcc9q4w0/t-shirt/0/m/o/l-ss17-hs-drop-tail-black-navy-maniac-original-imaf3jjzczyygnzv.jpeg?q=50,www.flipkart.com/maniac-solid-men-round-neck-dark-blue-grey-t-shirt/p/itmf3yw8ggjsy9sp?pid=TSHF3JGNGJEFC7Y4&amp;lid=LSTTSHF3JGNGJEFC7Y4UAQ7JO&amp;marketplace=FLIPKART&amp;srno=s_1_24&amp;otracker=search&amp;fm=organic&amp;iid=en_c6E91TE7PROo%2Fc0Gdfjxfg2JxZ3l%2FUtIFAU2FNcbt7YXEzqQPKE66DLNJ6nVScp4DMjpEnvEMtGTi0RVFidbMg%3D%3D&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Solid Men Round Neck Dark Blue, Grey T-Shirt",
Solid Women Round Neck Black T-Shirt,4.7,6,1,https://rukminim1.flixcart.com/image/309/371/kc6jyq80/t-shirt/l/7/y/xl-12001-black-bukkum-original-imaftd2zzhc5essu.jpeg?q=50,www.flipkart.com/bukkum-solid-women-round-neck-black-t-shirt/p/itm6b11d07f40383?pid=TSHFTD2ZZVK3HWFM&amp;lid=LSTTSHFTD2ZZVK3HWFM5EMBBZ&amp;marketplace=FLIPKART&amp;srno=s_1_25&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFTD2ZZVK3HWFM.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Solid Women Round Neck Black T-Shirt,
Printed Women Hooded Neck Red T-Shirt,4.1,140,17,https://rukminim1.flixcart.com/image/309/371/k0vbgy80/t-shirt/n/n/x/s-grl-crop-attitude-hood-red-323-acomharc-original-imafkk9yfrqhuxh4.jpeg?q=50,www.flipkart.com/acomharc-printed-women-hooded-neck-red-t-shirt/p/itmc9506aee6a1ad?pid=TSHFKJT7MJ8VZZCY&amp;lid=LSTTSHFKJT7MJ8VZZCYWPHGNT&amp;marketplace=FLIPKART&amp;srno=s_1_26&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFKJT7MJ8VZZCY.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Printed Women Hooded Neck Red T-Shirt,
Printed Women Hooded Neck Yellow T-Shirt,4.0,37,5,https://rukminim1.flixcart.com/image/309/371/k0vbgy80/t-shirt/v/w/g/xs-grl-crop-whatever-hood-ylw-324-acomharc-original-imafkjzgguhgfycr.jpeg?q=50,www.flipkart.com/acomharc-printed-women-hooded-neck-yellow-t-shirt/p/itm6edf8bcc71ed6?pid=TSHFKJGXB8XY3VWG&amp;lid=LSTTSHFKJGXB8XY3VWGCAIRK9&amp;marketplace=FLIPKART&amp;srno=s_1_27&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFKJGXB8XY3VWG.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,Printed Women Hooded Neck Yellow T-Shirt,
"Printed, Color Block Women Hooded Neck Multicolor T-Shi...",4.1,140,20,https://rukminim1.flixcart.com/image/309/371/k0vbgy80/t-shirt/u/e/z/xs-grl-crop-friend-hood-red-322-acomharc-original-imafkkadygpxurt2.jpeg?q=50,www.flipkart.com/acomharc-printed-color-block-women-hooded-neck-multicolor-t-shirt/p/itm18c799106ac3d?pid=TSHFKJT7ZPMRHZHS&amp;lid=LSTTSHFKJT7ZPMRHZHSI1V6QH&amp;marketplace=FLIPKART&amp;srno=s_1_28&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFKJT7ZPMRHZHS.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Printed, Color Block Women Hooded Neck Multicolor T-Shi...",
"Color Block Women Hooded Neck Black, Grey T-Shirt",3.9,1605,199,https://rukminim1.flixcart.com/image/309/371/ju8oxow0/t-shirt/f/w/k/xs-grlblkgry313-acomharc-original-imaffepatedrwky2.jpeg?q=50,www.flipkart.com/acomharc-color-block-women-hooded-neck-black-grey-t-shirt/p/itmfhf67erhchajc?pid=TSHFFEZ7EHGMZXFB&amp;lid=LSTTSHFFEZ7EHGMZXFBXQH8IB&amp;marketplace=FLIPKART&amp;srno=s_1_29&amp;otracker=search&amp;fm=organic&amp;iid=18b4d60d-8963-407f-834b-ef1891dbf709.TSHFFEZ7EHGMZXFB.SEARCH&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Color Block Women Hooded Neck Black, Grey T-Shirt",
"Checkered Men Round Neck Red, Black T-Shirt",3.8,95051,13758,https://rukminim1.flixcart.com/image/309/371/jqmnv680/t-shirt/g/z/9/xl-mens-ss18-rn-fs-checked-tshirt-red-maniac-original-imafchsakwvngbzr.jpeg?q=50,www.flipkart.com/maniac-checkered-men-round-neck-red-black-t-shirt/p/itmfchs9fqzjmggw?pid=TSHFCKVRXXF5QFAH&amp;lid=LSTTSHFCKVRXXF5QFAHVEOPFQ&amp;marketplace=FLIPKART&amp;srno=s_1_30&amp;otracker=search&amp;fm=organic&amp;iid=en_c6E91TE7PROo%2Fc0Gdfjxfg2JxZ3l%2FUtIFAU2FNcbt7asRu29%2BRoUBB9qR5Ou%2F%2FB0OPHVgJvSgczAE8F7a9r0ig%3D%3D&amp;ssid=mzt87k9mcw0000001596694330754&amp;qH=7cc481e3eab24b4e,"Checkered Men Round Neck Red, Black T-Shirt",
